Item Number,UPC Code,Product Name,Brand,Model #,Long Description,Category,Unit Price,Case Pack
12345,036000291452,Duracell Coppertop AA Batteries 8 Pack,Duracell,MN1500B8Z,Long-lasting alkaline AA batteries for everyday devices,Batteries,14.99,12
54321,885911574518,DeWalt 20V MAX Cordless Drill Driver Kit,DeWalt,DCD771C2,"20V MAX lithium-ion compact drill driver with two batteries, charger, and contractor bag",Power Tools,129.00,4
67890,5449000000996,Coca-Cola Classic 330ml Can,Coca-Cola,,Classic Coca-Cola in a 330ml aluminium can,Beverages,0.79,24
22110,,Samsung 55 Inch Class QLED 4K Smart TV,Samsung,QN55Q60D,55-inch 4K UHD QLED smart television with Quantum HDR and Tizen OS,Televisions,597.99,1
33045,,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,Sony,WH1000XM5,"Over-ear wireless headphones with industry-leading noise cancellation, 30 hour battery",Audio,348.00,6
44982,,Makita 18V LXT Brushless Impact Driver,Makita,XDT16Z,18V LXT lithium-ion brushless cordless impact driver bare tool,Power Tools,139.00,4
51203,,Instant Pot Duo 7-in-1 Electric Pressure Cooker 6 Qt,Instant Pot,DUO60,"6 quart 7-in-1 multi-cooker: pressure cook, slow cook, rice, steam, saute, yogurt, warm",Kitchen,89.95,2
60117,,OtterBox Defender Series Case for iPhone 15,OtterBox,77-92542,Rugged multi-layer protective case with holster for iPhone 15,Phone Accessories,59.95,10
71284,,Yeti Rambler 20 oz Tumbler Stainless Steel,YETI,21071500000,20 ounce double-wall vacuum insulated stainless steel tumbler with MagSlider lid,Drinkware,35.00,8
88301,,Logitech MX Master 3S Wireless Mouse Graphite,Logitech,910-006556,"Advanced wireless performance mouse, 8K DPI, quiet clicks, USB-C rapid charge",Computer Accessories,99.99,10
